FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
219,1.0,13.0010004,12.0,-0.0252,875.539978,4620.620117,4602.089844,980.5200195,23.50531769,1.00999999,38.5900002,624.0100098,-43.33331299,64.50012207,6.0,2,1.38307619,77.907402,-45.0900002,166383.0,47.0513,809.7540283
220,1.0,13.0010004,12.0,-0.0307,832.6300049,4659.149902,4554.410156,933.2199707,22.5055542,1.00999999,38.0,658.3400269,-42.33331299,64.50012207,6.0,2,1.29777372,94.5796967,-48.9053993,110802.0,32.0778008,1054.630005
221,1.0,13.00300026,12.0,-0.036,789.7399902,4636.810059,4506.830078,885.8599853,21.5058136,0.95999998,34.2700005,693.789978,-41.33331299,64.50012207,6.0,2,1.25804996,104.7220001,-48.7112007,81426.5,10.2054005,790.8859863
508,5.0,13.00300026,12.0,-0.0304,745.1599731,4590.279785,4459.339844,838.4699707,20.50609589,0.95999998,32.5,730.1900024,-40.33331299,64.50012207,6.0,2,1.31717002,154.7830048,-41.6422005,106011.0,52.7747993,-721.3690186
202,1.0,10.00399971,11.0,-0.0326,1311.030029,4204.939941,5028.350098,1382.560059,32.53459549,1.00999999,36.0,303.5299988,-52.33331299,65.50012207,4.0,2,1.87294996,-11.5664997,-33.7450981,75203.79688,84.3718033,496.8320007
203,1.0,12.99499989,12.0,-0.0434,1266.589966,4244.990234,4982.209961,1336.920044,31.53569412,1.00999999,41.25,316.7200012,-51.33331299,65.50012207,4.0,2,1.84344542,51.2262001,-40.6781006,85739.0,41.966301,42.8835983
204,1.0,12.99499989,12.0,-0.041,1222.48999,4284.77002,4936.049805,1291.209961,30.53686333,1.00999999,41.25,335.1400147,-50.33331299,65.50012207,4.0,2,1.79623795,-134.5180054,-44.2448006,104756.0,27.3062992,406.2579956
205,1.0,13.00199985,12.0,-0.0318,1178.780029,4324.299805,4889.879883,1245.430054,29.53811073,1.00999999,40.75,357.9700012,-49.33331299,65.50012207,4.0,2,1.777215,-20.1348991,-44.9996986,134297.0,13.0509996,557.2960205
206,1.0,13.00199985,12.0,-0.0276,1135.52002,4363.549805,4843.740234,1199.599976,28.53944588,1.00999999,41.3499985,384.4299927,-48.33331299,65.50012207,4.0,2,1.77752495,-41.0273018,-44.9802017,171166.0,34.8272018,465.071991
207,1.0,13.0010004,12.0,-0.0314,1092.469971,4402.529785,4797.609863,1153.709961,27.5408783,1.00999999,41.0,413.8099976,-47.33331299,65.50012207,4.0,2,1.74440372,-75.2904968,-45.1530991,172943.0,39.9007988,532.0349731
