FID,G_ther_age,thk_up_cru,thk_mid_cr,upman_den_,d_2ridge,d_2trench,d2_transfo,d_2volcano,d_2hotspot,G_heat_pro,crusthk_cr,lithk_cona,depthmoho,G_d_2yng_r,OBJECTID_1,Longitude_1,Latitude_1,num_in_cel,num_in_con,GHF,G_u_m_vel_,lthlgy_all,lthlgy_mod,age,magnetic_M,moho_GReD,moho_Pasya,litho_asth,WGM2012_Ai,WGM2012_Bo,ETOPO_1deg,continent
75,5,12.9989996,12,-0.0048,711.1699829,3511.75,5230.209961,1509.859985,37.79550171,0.95999998,37,180,-36.36999893,137.0800018,76,-53.33331299,81.50012207,0,0,0,2,0,2,2.09890866,20.2992001,-42.0144005,38431.89844,183127,-39.2882996,26.5167007,589.0980225,0
76,5,12.9989996,12,-0.0029,697.7000122,3527.72998,5214.189941,1501.060059,36.91205597,0.95999998,37,180,-36.31999969,146.0200043,77,-52.33331299,81.50012207,0,0,0,2,0,2,2.14205623,12.1029997,-40.7355003,39443.60156,188956,-31.0447998,34.9858017,-813.0709839,0
77,5,12.99699974,12,-0.002,684.1900024,3543.649902,5198.22998,1492.369995,36.03470612,0.95999998,37,180,-36.47999954,154.7899933,78,-51.33331299,81.50012207,0,0,0,2,0,2,2.14786053,-2.67168,-39.5084,40260.60156,200679,-16.5053997,51.9077988,-813.0709839,0
78,5,12.99699974,12,-0.0022,670.6500244,3559.48999,5182.350098,1483.810059,35.16390228,0.95999998,37,180,-36.54999924,163.2400055,79,-50.33331299,81.50012207,0,0,0,2,0,2,2.1163218,32.7700996,-38.4207993,40778.19922,214740,-0.169825,70.9188004,796.6760254,0
79,5,12.99699974,12,-0.0034,657.0800171,3575.27002,5166.560059,1475.369995,34.3001442,0.95999998,37,180,-36.38999939,170.2700043,80,-49.33331299,81.50012207,0,0,0,2,0,2,2.10986567,47.278801,-37.5513,40364,219823,-17.9489994,52.2094002,796.6760254,0
80,5,12.99699974,12,-0.0054,643.4199829,3590.959961,5150.839844,1467.060059,33.44398117,0.95999998,37,180,-36.34000015,175.8200073,81,-48.33331299,81.50012207,0,0,0,2,0,2,2.12849188,17.2332001,-36.9143982,39379.39844,215095,0.2063,67.016098,-50.5894012,0
81,5,13,12,-0.008,629.7399902,3606.580078,5135.220215,1458.890015,32.59601212,0.95999998,37,180,-36.29000092,179.2200012,82,-47.33331299,81.50012207,0,0,0,2,0,2,2.13074875,-24.8227005,-36.4760017,38856.19922,209950,9.6698599,73.4775009,-50.5894012,0
82,5,12.99600029,12,-0.0222,560.960022,3683.320068,5058.640137,1420.280029,28.50438499,0.95999998,37.4000015,170,-35.91999817,196.2599945,83,-42.33331299,81.50012207,0,0,0,2,0,2,2.1233232,193.4380035,-36.3361015,38856.60156,196609,21.5198994,58.3474007,769.5460205,0
83,5,12.9989996,12,-0.0236,547.1500244,3698.370117,5043.680176,1413.040039,27.72183228,0.95999998,37.5999985,170,-36.00999832,199.7200012,84,-41.33331299,81.50012207,0,0,0,2,0,2,2.11820126,73.2089996,-36.3480988,37590.10156,202917,35.1122017,67.8476028,761.0100098,0
110,1,13,12,-0.0138,189.4299927,4032.47998,4724.620117,1300.75,13.50925636,1.00999999,32.7999992,100,-32.56999969,2.18000007,111,-16.33331299,81.50012207,0,0,0,3,0,3,1.87993503,147.0980072,-38.0937004,28365.90039,64237.5,-29.1142998,81.8179016,-51.2993011,0
