FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
895,1.0,11.998,10.5,-0.0232,767.77,1576.9,791.45,328.42,3.535533906,1.440000057,40.9500008,40.81,-108.333313,35.50012207,80.1414032,5.0,3.0,0.5554533,5.9067898,-46.7495003,67894.39844,-86.9585037,2334.229981
896,1.0,6.997,7.0,-0.015799999,1983.82,1608.84,1730.0,2201.58,16.4468842,1.00999999,27.6599998,1137.39,-76.33331299,35.50012207,56.9761009,4.0,3.0,1.7822175,70.4712982,-34.5206985,221439.0,138.7740021,2.5032401
897,1.0,8.004,10.0,-0.0254,422.46,684.64,38.21,208.87,6.670832032,1.440000057,30.9799995,45.21,-119.333313,35.50012207,70.9852982,5.0,3.0,0.94920248,195.1179962,-28.2385006,76776.70313,86.2550964,82.2696991
898,1.0,10.0,9.996,-0.0396,290.86,807.33,116.61,149.01,6.519202405,1.440000057,32.3199997,116.36,-118.333313,35.50012207,77.280899,5.0,3.0,0.78176749,-59.1360016,-36.4324989,73494.20313,31.3694,1132.52002
899,1.0,18.999,12.0,-0.0206,923.46,1589.05,967.87,422.81,1.58113883,1.440000057,43.3400002,14.85,-105.333313,35.50012207,70.267601,6.0,3.0,0.89060509,6.3922801,-49.0896988,56605.69922,-75.3599014,2143.850098
900,1.0,11.504,12.0,-0.044799998,531.59,1332.6,535.45,231.33,6.519202405,1.440000057,43.8800011,70.46,-110.333313,35.50012207,65.5516968,5.0,3.0,0.38149947,-39.3843002,-41.2570992,76325.5,-63.8846016,1783.439941
901,2.0,16.003,15.0,-0.0131,1747.76,1913.21,1868.51,1241.22,8.514693183,0.959999979,42.6500015,337.24,-95.33331299,35.50012207,52.6489983,2.0,3.0,1.89700282,8.6265402,-31.6212006,148398.0,87.6213989,186.1950073
902,2.0,15.004,14.0,0.0147,2035.33,2135.21,2024.87,1717.54,14.50861813,0.959999979,37.5600014,23.13,-89.33331299,35.50012207,54.7103996,3.0,3.0,1.92376447,-31.0139999,-35.8843002,247631.0,136.6929932,100.6559982
903,1.0,10.0,9.996,-0.0396,290.86,807.33,116.61,149.01,6.519202405,1.440000057,32.3199997,116.36,-117.333313,35.50012207,79.3918991,5.0,1.0,0.60468769,152.9609985,-39.0742989,50051.19922,31.2950001,974.0390015
904,1.0,11.998,10.5,-0.0221,844.36,1586.18,879.33,368.36,2.549509757,1.440000057,38.2799988,49.85,-106.333313,35.50012207,78.3823013,6.0,3.0,0.72689277,-111.9349976,-48.3345985,48822.10156,-96.5052032,1655.670044
905,2.0,16.003,16.0,-0.0035,1667.14,1860.52,1777.93,1153.54,7.516648189,1.980000019,39.0099983,426.68,-96.33331299,35.50012207,51.475399,2.0,3.0,1.95221817,65.2032013,-29.5259991,179739.0,96.8704987,256.6210022
906,1.0,7.0,7.0,-0.054099999,500.68,632.68,31.38,262.62,6.964194139,1.440000057,25.0400009,33.72,-120.333313,35.50012207,70.4690018,5.0,3.0,1.03292,100.4580002,-28.7040005,77469.0,115.6880035,521.1879883
907,1.0,10.0,9.996,-0.039799999,250.9,875.42,158.45,183.14,6.670832032,1.440000057,29.7199993,130.69,-116.333313,35.50012207,80.7124023,5.0,3.0,0.45530799,-9.0617399,-31.4298992,46344.5,61.4471016,699.6879883
908,1.0,11.998,10.5,-0.0232,767.77,1576.9,791.45,328.42,3.535533906,1.440000057,40.9500008,40.81,-107.333313,35.50012207,81.6147003,5.0,3.0,0.64792675,61.2798996,-46.1324997,59387.30078,-90.6071014,2295.229981
909,1.0,10.0,10.001,-0.052299999,314.89,1096.46,311.87,190.05,7.90569415,1.440000057,34.9099998,35.65,-113.333313,35.50012207,71.5670013,5.0,3.0,0.39170283,-106.1380005,-34.2240982,60704.60156,-18.6844997,1671.180054
910,1.0,10.0,10.0,-0.0396,241.16,946.74,190.46,217.22,6.964194139,1.440000057,27.1700001,106.53,-115.333313,35.50012207,80.4002991,5.0,3.0,0.39614189,-86.3621979,-30.0914001,48334.30078,11.2426996,1359.26001
911,1.0,12.0,12.0,-0.045299999,613.99,1413.35,618.97,275.43,5.522680509,1.440000057,41.6199989,151.14,-109.333313,35.50012207,74.0995026,5.0,3.0,0.44947249,-32.6517982,-43.6431999,74458.89844,-78.216301,2088.100098
